Step,Time,Position_X,Position_Y,Position_Z,Tracking_Error_Norm,Control_Input_X,Control_Input_Y,Control_Input_Z
2.7199999999999855,31.799109656,2.6789713,0.3252467,8.247097,1.3482867,-19.79159,-18.244328,-3.2367148
2.7299999999999853,31.993156877,2.4295223,0.5583049,8.248228,1.4166337,-7.718936,-24.642384,-3.3199449
2.739999999999985,32.178587063,2.1527483,0.69300073,8.247018,1.5466427,5.7432275,-25.78086,-3.7987585
2.749999999999985,32.361362844,1.8406063,0.7239436,8.25025,1.7024947,20.0024,-22.028107,-4.5250506
2.7599999999999847,32.545307046,1.567909,0.6612499,8.253645,1.8531038,33.388107,-12.969381,-5.344514
2.7699999999999845,32.738039326,1.3451235,0.47191057,8.267973,2.001892,41.88874,-2.3495421,-6.092757
2.7799999999999843,32.908594541,1.2540039,0.27742606,8.27705,2.0863936,46.171135,10.973452,-6.743207
2.789999999999984,33.080798989,1.2765908,0.052418094,8.278857,2.1459517,45.40502,23.465183,-6.9512835
2.799999999999984,33.267123771,1.3999931,-0.13170445,8.268799,2.186786,37.939793,36.448177,-6.920347
2.8099999999999836,33.447814773,1.6057005,-0.24732319,8.255978,2.2092602,28.801056,43.50609,-6.581766
2.8199999999999834,33.612084391,1.8226463,-0.27536097,8.228169,2.210393,15.978993,47.975952,-5.8166375
2.829999999999983,33.79126448,2.0773842,-0.2380455,8.217655,2.1876633,4.838118,49.5729,-5.4300547
2.839999999999983,33.970173679,2.3575737,-0.11696448,8.188776,2.1331046,-7.83827,47.91792,-4.4417305
2.8499999999999828,34.153008508,2.5945728,0.06855942,8.175843,2.0722506,-20.289295,42.946728,-3.6506824
2.8599999999999826,34.339269579,2.7865076,0.3039294,8.180549,1.9891877,-30.714314,35.741474,-3.2520142
2.8699999999999823,34.51486197,2.9253356,0.5837547,8.201599,1.9080416,-39.073593,26.437187,-3.235923
2.879999999999982,34.696370324,2.9949698,0.897254,8.213273,1.8158904,-44.626,16.282484,-3.2319002
2.889999999999982,34.877814764,2.9755783,1.2044523,8.238678,1.6957773,-46.611362,6.6312847,-3.6572435
2.8999999999999817,35.066433886,2.8609905,1.5145555,8.265993,1.5829004,-44.81978,-5.772613,-3.93921
2.9099999999999815,35.259949518,2.6555035,1.8037608,8.3064785,1.486783,-38.77265,-16.391752,-4.5747547
2.9199999999999813,35.437798083,2.4226918,1.9946038,8.341575,1.4466273,-30.716574,-23.616283,-5.2470016
2.929999999999981,35.625186847,2.1335776,2.147712,8.355649,1.4233085,-19.491138,-28.46668,-5.746165
2.939999999999981,35.813414547,1.8208847,2.2316513,8.354041,1.4501817,-7.8963137,-29.613674,-6.1084814
2.9499999999999806,35.993647353,1.480867,2.2172284,8.336295,1.5005717,6.4159427,-26.5267,-6.2995014
2.9599999999999804,36.177626976,1.1376541,2.1206152,8.315971,1.6236471,20.245342,-19.304424,-6.443356
2.96999999999998,36.367821939,0.88027185,1.948113,8.267688,1.7397594,31.008091,-7.9107265,-5.956062
2.97999999999998,36.547240808,0.6821668,1.7219492,8.223159,1.8534262,37.73131,5.9648714,-5.3363748
