Time,Position_X,Position_Y,Position_Z
34.041423525,-24.836815,1.2532477,8.0
34.107101792,-24.853462,1.281553,8.0
34.178598233,-24.872007,1.3121152,8.0
34.258390825,-24.893217,1.3459069,8.0
34.332085618,-24.913282,1.3768106,8.0
34.399796046,-24.932117,1.4049422,8.0
34.480188688,-24.954973,1.4380084,8.0
34.546661708,-24.974272,1.4650676,8.0
34.610055187,-24.993008,1.4906325,8.0
34.669716446,-25.010939,1.5144742,8.0
34.734866273,-25.03084,1.5402625,8.0
34.810490722,-25.05436,1.5698682,8.0
34.882081597,-25.077036,1.5975641,8.0
34.950693255,-25.09914,1.6238015,8.0
35.021946117,-25.12247,1.6507233,8.0
35.085992428,-25.143768,1.6746361,8.0
35.153286384,-25.166475,1.6994672,8.0
35.223611679,-25.19056,1.7250862,8.0
35.304278314,-25.218626,1.7540537,8.0
35.364835263,-25.24,1.7754991,8.0
35.431885431,-25.263966,1.7989404,8.0
35.494317105,-25.286562,1.8204758,8.0
35.553639596,-25.308283,1.8406765,8.0
35.625981472,-25.335089,1.8649591,8.0
35.694228519,-25.3607,1.8875105,8.0
35.768617761,-25.388964,1.9116908,8.0
35.832000893,-25.413326,1.9319584,8.0
35.906842117,-25.44242,1.9554904,8.0
35.970788251,-25.467556,1.9752502,8.0
36.037137628,-25.4939,1.995411,8.0
36.109744789,-25.523035,2.017071,8.0
36.177952828,-25.550688,2.0370305,8.0
36.243196806,-25.57739,2.0557687,8.0
36.3117254,-25.6057,2.075073,8.0
36.373121589,-25.631285,2.0920374,8.0
36.438695976,-25.65884,2.1098075,8.0
36.51092936,-25.689457,2.1289616,8.0
36.581036925,-25.719437,2.1471272,8.0
36.640207155,-25.744934,2.1621304,8.0
36.712034977,-25.776123,2.1799371,8.0
36.782149566,-25.806812,2.1968844,8.0
36.846777217,-25.835306,2.2121232,8.0
36.915013363,-25.865602,2.2278113,8.0
36.98170229,-25.895416,2.242743,8.0
37.05806467,-25.929796,2.2593505,8.0
37.124914106,-25.960098,2.2734563,8.0
37.196129934,-25.992584,2.2880368,8.0
37.264644455,-26.02403,2.3016264,8.0
37.335770295,-26.05687,2.3152761,8.0
37.404966962,-26.089,2.3281069,8.0
37.478321074,-26.123253,2.3412206,8.0
37.546375955,-26.1552,2.3529365,8.0
37.617606023,-26.188805,2.3647327,8.0
37.698848512,-26.227333,2.3776004,8.0
37.765816091,-26.259245,2.3877356,8.0
37.838708599,-26.294132,2.3982806,8.0
37.92104653,-26.333721,2.4095793,8.0
37.988863361,-26.366463,2.4183943,8.0
38.049302654,-26.39574,2.4258752,8.0
38.120566791,-26.430378,2.4342413,8.0
38.187161507,-26.462847,2.4416115,8.0
38.255009743,-26.496029,2.4486756,8.0
38.321745102,-26.528755,2.4551842,8.0
38.38241626,-26.55858,2.460721,8.0
38.444914588,-26.589375,2.4660466,8.0
38.505325175,-26.619196,2.4708276,8.0
38.570762587,-26.651566,2.4755998,8.0
38.632686474,-26.682251,2.479725,8.0
38.704005616,-26.717653,2.4840047,8.0
38.770644431,-26.750782,2.4875472,8.0
38.834019076,-26.782331,2.490506,8.0
38.894387133,-26.812416,2.4929526,8.0
38.959233671,-26.844763,2.4951756,8.0
39.035497559,-26.882837,2.4972532,8.0
39.09601261,-26.913069,2.4984882,8.0
39.159933083,-26.945017,2.4993954,8.0
39.21673539,-26.973413,2.4998586,8.0
39.287246284,-27.008669,2.499985,8.0
39.354926438,-27.042507,2.4996386,8.0
39.417199712,-27.073633,2.4989154,8.0
39.487875046,-27.10895,2.4976249,8.0
39.572836546,-27.151371,2.495413,8.0
39.638827208,-27.184294,2.493198,8.0
39.71017951,-27.21985,2.4903145,8.0
39.790770502,-27.25996,2.4864473,8.0
39.856086234,-27.29242,2.4828393,8.0
39.932060954,-27.330109,2.4781098,8.0
40.001663334,-27.364573,2.4732745,8.0
40.066080576,-27.396408,2.4683719,8.0
40.132572712,-27.429197,2.4628825,8.0
40.201689924,-27.4632,2.4567144,8.0
40.263119353,-27.493345,2.4508386,8.0
40.322961041,-27.522642,2.4447587,8.0
40.393833064,-27.557243,2.437105,8.0
40.460495305,-27.589684,2.4294593,8.0
40.544349145,-27.630344,2.4192283,8.0
40.604885643,-27.659588,2.4114199,8.0
40.680362961,-27.695913,2.4011884,8.0
40.745510748,-27.727139,2.3919177,8.0
40.817234406,-27.761375,2.381241,8.0
40.886631784,-27.79435,2.3704453,8.0
40.957488943,-27.827862,2.3589501,8.0
41.025806767,-27.860014,2.347419,8.0
41.087733609,-27.889023,2.336587,8.0
41.158307684,-27.921913,2.3238065,8.0
41.227535548,-27.953997,2.3108199,8.0
41.299687543,-27.987242,2.2968135,8.0
41.360818921,-28.015251,2.2845712,8.0
41.422079631,-28.043165,2.2719612,8.0
41.484696937,-28.071533,2.2587202,8.0
41.550237437,-28.101048,2.2444806,8.0
41.62134798,-28.132858,2.2285938,8.0
41.69054607,-28.163593,2.2127025,8.0
41.762345872,-28.195244,2.1957664,8.0
41.842664654,-28.230362,2.1762838,8.0
41.90724399,-28.258368,2.1602108,8.0
41.973198496,-28.28675,2.143425,8.0
42.043130732,-28.3166,2.12522,8.0
42.127150457,-28.352127,2.1027958,8.0
42.191175538,-28.378942,2.08531,8.0
42.265140092,-28.40964,2.0646832,8.0
42.326473481,-28.434858,2.0472376,8.0
42.392411239,-28.461731,2.0281382,8.0
42.466129991,-28.491472,2.0063667,8.0
42.535685324,-28.51924,1.9854252,8.0
42.596174894,-28.543148,1.9669001,8.0
42.667193032,-28.570927,1.944785,8.0
42.727192621,-28.59415,1.9257941,8.0
42.791589545,-28.61882,1.9051033,8.0
42.857386753,-28.643751,1.8836356,8.0
42.928133332,-28.670238,1.8601894,8.0
42.99784026,-28.696007,1.836725,8.0
43.070697616,-28.72259,1.811818,8.0
43.159215302,-28.754393,1.7810405,8.0
43.231052218,-28.7798,1.7556503,8.0
43.310790315,-28.807571,1.7270453,8.0
43.38062792,-28.831516,1.7016304,8.0
43.451822018,-28.855558,1.675381,8.0
